[8/5/2019 21:46:15] /t
[8/5/2019 21:46:18] /t kondek
[8/5/2019 21:46:34] /t 1
[8/5/2019 21:47:6] /a 100
[8/5/2019 21:47:11] /a 1
[8/5/2019 21:47:28] /a 7
[8/5/2019 21:47:29] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:30] /a 7
[8/5/2019 21:47:31] /a 7
[8/5/2019 21:47:31] /a 7
[8/5/2019 21:47:31] /a 7
[8/5/2019 21:47:31] /a 7
[8/5/2019 21:47:31] /a 7
[8/5/2019 21:47:31] /a 7
[8/5/2019 21:47:31] /a 7
[8/5/2019 21:47:32] /a 7
[8/5/2019 21:47:33] /a 7
[8/5/2019 21:47:33] /a 7
[8/5/2019 21:47:33] /a 7
[8/5/2019 21:47:34] /a 7
[8/5/2019 21:47:34] /a 7
[8/5/2019 21:47:34] /a 7
[8/5/2019 21:47:34] /a 7
[8/5/2019 21:47:34] /a 7
[8/5/2019 21:47:35] /a 7
[8/5/2019 21:47:36] /a 7
[8/5/2019 21:47:36] /a 7
[8/5/2019 21:47:36] /a 7
[8/5/2019 21:47:36] /a 7
[8/5/2019 21:47:37] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:38] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:39] /a 7
[8/5/2019 21:47:40] /a 7
[8/5/2019 21:47:41] /a 7
[8/5/2019 21:47:41] /a 7
[8/5/2019 21:47:41] /a 7
[8/5/2019 21:47:41] /a 7
[8/5/2019 21:47:41] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:42] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:43] /a 7
[8/5/2019 21:47:44] /a 7
[8/5/2019 21:47:44] /a 7
[8/5/2019 21:47:44] /a 7
[8/5/2019 21:47:44] /a 7
[8/5/2019 21:47:44] /a 7
[8/5/2019 21:47:44] /a 7
[8/5/2019 21:47:46] /a 7
[8/5/2019 21:47:46] /a 7
[8/5/2019 21:47:46] /a 7
[8/5/2019 21:47:46] /a 7
[8/5/2019 21:47:46] /a 7
[8/5/2019 21:47:47] /a 7
[8/5/2019 21:47:47] /a 7
[8/5/2019 21:47:48] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:49] /a 7
[8/5/2019 21:47:50] /a 7
[8/5/2019 21:47:51] /a 7
[8/5/2019 21:47:51] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:52] /a 7
[8/5/2019 21:47:53] /a 7
[8/5/2019 21:47:53] /a 7
[8/5/2019 21:47:53] /a 7
[8/5/2019 21:47:53] /a 7
[8/5/2019 21:47:53] /a 7
[8/5/2019 21:47:53] /a 7
[8/5/2019 21:47:53] /a 7
[8/5/2019 21:47:54] /a 7
[8/5/2019 21:47:54] /a 7
[8/5/2019 21:47:54] /a 7
[8/5/2019 21:47:54] /a 7
[8/5/2019 21:47:54] /a 7
[8/5/2019 21:47:54] /a 7
[8/5/2019 21:47:54] /a 7
[8/5/2019 21:47:54] /a 7
